"species","morphDes","spinose","Macro.micro","structure","aperture","latest","earliest","mph","mphRef","eco","ecoRef","geo","geoRef","log.area","Approximate.diameter","newEnd","N","MaxAbund","ALD","ALDse","VD","VDse","DepthHabitat","DepthHabitatVar","ref"
"Streptochilus globigerum","Biserial, globular later stages",NA,"Microperforate","Microperforate","High arch extending from the base of the last chamber onto the apertural face and bordered by a distinct lip",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Streptochilus globulosum","Biserial",NA,"Microperforate","Microperforate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tenuitella iota",NA,NA,"Microperforate","Microperforate",NA,NA,NA,NA,"Bronnimann and Resig (1971), Kennett and Srinivasan (1983), Li et al. (1987), Pearson et al. (in press b)",NA,NA,NA,NA,NA,NA,0,"7","3.96","276.81","32.46","49.68","20.78","Subsurface","Stable","Rebotim et al. 2017"
"Tenuitella parkerae",NA,NA,"Microperforate","Microperforate",NA,NA,NA,NA,"Bronnimann and Resig (1971), Kennett and Srinivasan (1983), Li et al. (1987), Pearson et al. (in press b)",NA,NA,NA,NA,NA,NA,0,"19","0.8","137.28","37.05","89.15","22.19","Subsurface","Variable","Rebotim et al. 2017"
"Trilobatus immaturus",NA,NA,"Macroperforate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trilobatus quadrilobatus",NA,NA,"Macroperforate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trilobatus sacculifer","Low trochospiral, chambers spherical except final one which is sack like","Spinose","Macroperforate","Cancellate","Primary aperture interiomarginal umbilicalwide arch with rim. Supplementary sutural apertures on spiral side",0.003513,50.551636,3,"Kennett & Srinivasan (1983)",1,"Keller (1985); D. R. M. Stewart unpublished data","Low latitudes","Kennett & Srinivasan (1983)",12.2803176874177,261.855781727188,0,"39","68.54","60.71","16.1","35.45","10.18","Surface","Variable","Rebotim et al. 2017"
"Trilobatus trilobus","Trochospiral, chambers spherical, three in final whorl","Spinose","Macroperforate","Cancellate","Primary aperture interiomarginal umbilical low slit. Supplementary sutural aperture on spiral side",0.003513,24.707875,3,"Kennett & Srinivasan (1983)",1,"Keller (1985); Pearson et al. (2001b); Pearson & Shackleton (1995)","Low latitudes","Kennett & Srinivasan (1983)",11.7598867828101,201.860819688439,0,NA,"208","17.4",NA,"7",NA,"Surface",NA,"Loncaric et al. 2006"
"Truncorotalia crassaformis","Low trochospiral, spiral side almost flat, umbilical side strongly convex","Non-spinose","Macroperforate","Smooth","Interiomarginal umbilical-extraumbilical low-arched slit bordered by lip",0.007026,6.761518,15,"Kennett & Srinivasan (1983)",4,"D. R. M. Stewart unpublished data","Low to middle latitudes","Kennett & Srinivasan (1983)",12.1776637848661,248.75462019348,0,"9","0.6","48.33","14.85","15.52","13.35","Surface.subsurface",NA,"Ezard et al. 2015, Rebotim et al. 2017, Schiebel 2017, Meilland et al. 2019"
"Truncorotalia pachytheca","As T. truncatulinoides but with more rounded chambers and less conical umbilical side","Non-spinose","Macroperforate","Smooth","Interiomarginal umbilical-extraumbilical low arch bordered by lip",NA,NA,15,"D. R. M. Stewart unpublished data",4,"This study","Low latitudes","Kennett & Srinivasan (1983)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Truncorotalia truncatulinoides","Low trochospiral, strongly umbilico-convex with distinct keel","Non-spinose","Macroperforate","Smooth","Interiomarginal umbilical-extraumbilical low arch bordered by lip",0.003513,11.102836,15,"Kennett & Srinivasan (1983)",4,"Vergnaud-Grazzini (1976); Shackleton & Vincent (1978)","Low latitudes","Kennett & Srinivasan (1983)",12.7993614329256,339.446304356837,0,"32","19.7","96.36","22.42","64.67","11.48","Surface.subsurface","Variable","Rebotim et al. 2017"
"Turborotalita clarkei","Small, slightly compressed trochospiral, final chamber distinctly spinose, can be heavily encrusted","Spinose","Macroperforate","Cancellate","Interiomarginal umbilical-extraumbilical very low arch ",NA,NA,1,"Brummer & Kroon (1988)",2,"This study","Low latitudes","Brummer & Kroon (1988)",10.1722787539273,91.2656453849392,0,"4","1.44","217.98","117.32","70.27","2.43","Subsurface",NA,"Rebotim et al. 2017"
"Turborotalita cristata","Minute, very low trochospiral, equatorial periphery distinctly lobulate, short conical spine along periphery","Spinose","Macroperforate","Cancellate","Interiomarginal umbilical-extraumbilical low arch bordered by thin lip",3.453509,4.229124,1,"Kennett & Srinivasan (1983)",2,"This study","Low latitudes","Kennett & Srinivasan (1983)",9.61419292656964,69.043139567688,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turborotalita humilis","Minute, low trochospiral, equatorial periphery almost circular, tongue-like extension of the final chamber over the umbilicus ","Spinose","Macroperforate","Cancellate","Interiomarginal umbilical-extraumbilical except when covered by tongue-like extension. Several infralaminal apertures present",0,25.1541,1,"Kennett & Srinivasan (1983)",2,"This study","Low latitudes","Kennett & Srinivasan (1983)",9.95025904033317,81.6763574297495,0,"25","203.8","91.98","29.55","56.83","23.81","Surface.subsurface","Variable","Rebotim et al. 2017"
"Turborotalita quinqueloba","Small, slightly compressed, trochospiral, final chamber distinctly spinose","Spinose","Macroperforate","Cancellate","An elongate slit often at the end of a flap-like structure of the final chamber",0.003513,33.323925,1,"Kennett & Srinivasan (1983)",5,"Pearson & Wade (2009)","Low to high latitudes","Kennett & Srinivasan (1983)",9.9944944115791,83.5029752421767,0,"34","14.46","143.9","39.14","69.72","20.53","Subsurface","Variable","Rebotim et al. 2017"
