"bin","bin2","sp","h","pa","pe","bw1","bw2","n1","n2"
4,412,"Trilobatus sacculifer",0.189245572563694,0.0897968237607123,26.9376125335693,0.0390463386675093,0.066643761976827,944,6
4,412,"Trilobatus trilobus",NA,0.105533709564464,26.9376125335693,0.0413811077987847,NA,798,0
4,492,"Globigerinoides conglobatus",NA,0.112017956635115,26.9376125335693,0.0398668474822441,NA,706,0
4,492,"Globigerinoides ruber",0.363596783891244,0.0684336631582533,26.9376125335693,0.0430781281913889,0.0861595252280483,1027,11
4,492,"Globoturborotalita tenella",NA,0.0862810952578394,26.9376125335693,0.0432508990715558,NA,644,0
4,492,"Menardella menardii",NA,0.114610716461178,26.9376125335693,0.03904909395427,NA,756,0
4,492,"Neogloboquadrina dutertrei",0.175669710862834,0.0696451350049669,26.9376125335693,0.044591405714489,0.0876999445381673,1013,10
4,492,"Pulleniatina obliquiloculata",NA,0.13361963077836,26.9376125335693,0.0391890199532838,NA,729,0
4,492,"Trilobatus sacculifer",0.291212164952965,0.0897968237607123,26.9376125335693,0.0390463386675093,0.076309475072529,944,9
4,492,"Trilobatus trilobus",NA,0.105533709564464,26.9376125335693,0.0413811077987847,NA,798,0
4,588,"Globigerinoides conglobatus",0.228222061107022,0.112017956635115,26.9376125335693,0.0398668474822441,0.192634627240959,706,6
4,588,"Globigerinoides ruber",0.125007811236213,0.0684336631582533,26.9376125335693,0.0430781281913889,0.159078679394212,1027,11
4,588,"Globoturborotalita tenella",NA,0.0862810952578394,26.9376125335693,0.0432508990715558,NA,644,0
4,588,"Menardella menardii",NA,0.114610716461178,26.9376125335693,0.03904909395427,NA,756,0
4,588,"Neogloboquadrina dutertrei",0.130153343621184,0.0696451350049669,26.9376125335693,0.044591405714489,0.113858536145851,1013,7
4,588,"Pulleniatina obliquiloculata",0.0722723794090483,0.13361963077836,26.9376125335693,0.0391890199532838,0.126216719224375,729,6
4,588,"Trilobatus sacculifer",0.091558585815609,0.0897968237607123,26.9376125335693,0.0390463386675093,0.129282826379072,944,7
4,588,"Trilobatus trilobus",0.0547907602975875,0.105533709564464,26.9376125335693,0.0413811077987847,0.109714306652388,798,6
124,212,"Globigerinoides conglobatus",NA,0.0584011628874264,20.4655824507105,0.148660984215175,NA,12,0
124,212,"Globigerinoides ruber",0.0937264463697198,0.0563579376694121,15.9381892579942,0.106487850375567,0.0897350569165377,24,10
124,212,"Globoturborotalita tenella",NA,0.0598791598115613,20.7285495924632,0.090987192966756,NA,14,0
124,212,"Menardella menardii",0.150216361339684,0.139976454816703,21.6723633231412,0.0609001811245682,0.0661268771087386,12,7
124,212,"Neogloboquadrina dutertrei",0.244945645454702,0.0549091785767706,16.1799512560565,0.105379761917365,0.0871161785797143,21,8
124,212,"Pulleniatina obliquiloculata",NA,0.088881658088613,22.0357659831204,0.0674975763850434,NA,10,0
124,212,"Trilobatus sacculifer",0.292634280014439,0.0662161524854684,20.5707735929199,0.117510503629815,0.0541057771660211,16,9
124,212,"Trilobatus trilobus",NA,0.102565354207771,20.7811277019344,0.0583600960491618,NA,9,0
124,332,"Globigerinoides conglobatus",NA,0.0584011628874264,20.4655824507105,0.148660984215175,NA,12,0
124,332,"Globigerinoides ruber",0.128271471179607,0.0563579376694121,15.9381892579942,0.106487850375567,0.180947329169925,24,9
124,332,"Globoturborotalita tenella",NA,0.0598791598115613,20.7285495924632,0.090987192966756,NA,14,0
124,332,"Menardella menardii",0.23459753741412,0.139976454816703,21.6723633231412,0.0609001811245682,0.0873456878073555,12,6
124,332,"Neogloboquadrina dutertrei",0.0840580791692055,0.0549091785767706,16.1799512560565,0.105379761917365,0.104686998530639,21,8
124,332,"Pulleniatina obliquiloculata",0.277925025878096,0.088881658088613,22.0357659831204,0.0674975763850434,0.122962110150926,10,6
124,332,"Trilobatus sacculifer",0.309888614712192,0.0662161524854684,20.5707735929199,0.117510503629815,0.0738571061908121,16,7
124,332,"Trilobatus trilobus",NA,0.102565354207771,20.7811277019344,0.0583600960491618,NA,9,0
124,412,"Globigerinoides conglobatus",NA,0.0584011628874264,20.4655824507105,0.148660984215175,NA,12,0
124,412,"Globigerinoides ruber",0.112085006118211,0.0563579376694121,15.9381892579942,0.106487850375567,0.147502204401287,24,8
124,412,"Globoturborotalita tenella",NA,0.0598791598115613,20.7285495924632,0.090987192966756,NA,14,0
124,412,"Menardella menardii",0.223834448687574,0.139976454816703,21.6723633231412,0.0609001811245682,0.0488612628815917,12,6
124,412,"Neogloboquadrina dutertrei",0.35177970335583,0.0549091785767706,16.1799512560565,0.105379761917365,0.0651476076821353,21,9
124,412,"Pulleniatina obliquiloculata",NA,0.088881658088613,22.0357659831204,0.0674975763850434,NA,10,0
124,412,"Trilobatus sacculifer",0.34331269379149,0.0662161524854684,20.5707735929199,0.117510503629815,0.066643761976827,16,6
124,412,"Trilobatus trilobus",NA,0.102565354207771,20.7811277019344,0.0583600960491618,NA,9,0
124,492,"Globigerinoides conglobatus",NA,0.0584011628874264,20.4655824507105,0.148660984215175,NA,12,0
124,492,"Globigerinoides ruber",0.233876617613254,0.0563579376694121,15.9381892579942,0.106487850375567,0.0861595252280483,24,11
124,492,"Globoturborotalita tenella",NA,0.0598791598115613,20.7285495924632,0.090987192966756,NA,14,0
124,492,"Menardella menardii",NA,0.139976454816703,21.6723633231412,0.0609001811245682,NA,12,0
124,492,"Neogloboquadrina dutertrei",0.0976353432757828,0.0549091785767706,16.1799512560565,0.105379761917365,0.0876999445381673,21,10
124,492,"Pulleniatina obliquiloculata",NA,0.088881658088613,22.0357659831204,0.0674975763850434,NA,10,0
124,492,"Trilobatus sacculifer",0.154733514563885,0.0662161524854684,20.5707735929199,0.117510503629815,0.076309475072529,16,9
124,492,"Trilobatus trilobus",NA,0.102565354207771,20.7811277019344,0.0583600960491618,NA,9,0
124,588,"Globigerinoides conglobatus",0.0600158643558942,0.0584011628874264,20.4655824507105,0.148660984215175,0.192634627240959,12,6
124,588,"Globigerinoides ruber",0.108636931592781,0.0563579376694121,15.9381892579942,0.106487850375567,0.159078679394212,24,11
124,588,"Globoturborotalita tenella",NA,0.0598791598115613,20.7285495924632,0.090987192966756,NA,14,0
124,588,"Menardella menardii",NA,0.139976454816703,21.6723633231412,0.0609001811245682,NA,12,0
124,588,"Neogloboquadrina dutertrei",0.0725766458500652,0.0549091785767706,16.1799512560565,0.105379761917365,0.113858536145851,21,7
124,588,"Pulleniatina obliquiloculata",0.285163992213083,0.088881658088613,22.0357659831204,0.0674975763850434,0.126216719224375,10,6
124,588,"Trilobatus sacculifer",0.220373287579381,0.0662161524854684,20.5707735929199,0.117510503629815,0.129282826379072,16,7
124,588,"Trilobatus trilobus",0.146539517047378,0.102565354207771,20.7811277019344,0.0583600960491618,0.109714306652388,9,6
212,332,"Globigerinoides ruber",0.159774621770946,0.0680211415679403,20.1397434426654,0.0897350569165377,0.180947329169925,10,9
212,332,"Menardella menardii",0.181140111840052,0.140691584813453,21.2363382927692,0.0661268771087386,0.0873456878073555,7,6
212,332,"Neogloboquadrina dutertrei",0.202736469303079,0.0907141223045103,18.9384343116245,0.0871161785797143,0.104686998530639,8,8
212,332,"Trilobatus sacculifer",0.136857880948229,0.134423991403458,20.8437344312033,0.0541057771660211,0.0738571061908121,9,7
212,412,"Globigerinoides ruber",0.160976804865743,0.0680211415679403,20.1397434426654,0.0897350569165377,0.147502204401287,10,8
212,412,"Menardella menardii",0.336254902439831,0.140691584813453,21.2363382927692,0.0661268771087386,0.0488612628815917,7,6
212,412,"Neogloboquadrina dutertrei",0.149881517082532,0.0907141223045103,18.9384343116245,0.0871161785797143,0.0651476076821353,8,9
212,412,"Trilobatus sacculifer",0.242395501531346,0.134423991403458,20.8437344312033,0.0541057771660211,0.066643761976827,9,6
212,492,"Globigerinoides ruber",0.314520701076457,0.0680211415679403,20.1397434426654,0.0897350569165377,0.0861595252280483,10,11
212,492,"Menardella menardii",NA,0.140691584813453,21.2363382927692,0.0661268771087386,NA,7,0
212,492,"Neogloboquadrina dutertrei",0.28810630358199,0.0907141223045103,18.9384343116245,0.0871161785797143,0.0876999445381673,8,10
212,492,"Trilobatus sacculifer",0.387287214716254,0.134423991403458,20.8437344312033,0.0541057771660211,0.076309475072529,9,9
212,588,"Globigerinoides ruber",0.12422559394377,0.0680211415679403,20.1397434426654,0.0897350569165377,0.159078679394212,10,11
212,588,"Menardella menardii",NA,0.140691584813453,21.2363382927692,0.0661268771087386,NA,7,0
212,588,"Neogloboquadrina dutertrei",0.257750575383588,0.0907141223045103,18.9384343116245,0.0871161785797143,0.113858536145851,8,7
212,588,"Trilobatus sacculifer",0.309487729512937,0.134423991403458,20.8437344312033,0.0541057771660211,0.129282826379072,9,7
332,412,"Globigerinoides ruber",0.0349209778761047,0.0470298202005327,18.0493507521482,0.180947329169925,0.147502204401287,9,8
332,412,"Menardella menardii",0.389046551153843,0.104721554601791,19.6763845940139,0.0873456878073555,0.0488612628815917,6,6
332,412,"Neogloboquadrina dutertrei",0.300165191726298,0.0697615928414239,18.3412316894044,0.104686998530639,0.0651476076821353,8,9
332,412,"Pulleniatina obliquiloculata",NA,0.0558187516738933,15.492053464676,0.122962110150926,NA,6,0
332,412,"Trilobatus sacculifer",0.127362557966666,0.124877790685257,20.0304674838218,0.0738571061908121,0.066643761976827,7,6
332,492,"Globigerinoides ruber",0.228254108051008,0.0470298202005327,18.0493507521482,0.180947329169925,0.0861595252280483,9,11
332,492,"Menardella menardii",NA,0.104721554601791,19.6763845940139,0.0873456878073555,NA,6,0
332,492,"Neogloboquadrina dutertrei",0.101339962782556,0.0697615928414239,18.3412316894044,0.104686998530639,0.0876999445381673,8,10
332,492,"Pulleniatina obliquiloculata",NA,0.0558187516738933,15.492053464676,0.122962110150926,NA,6,0
332,492,"Trilobatus sacculifer",0.392193764523586,0.124877790685257,20.0304674838218,0.0738571061908121,0.076309475072529,7,9
332,588,"Globigerinoides ruber",0.0744931382460243,0.0470298202005327,18.0493507521482,0.180947329169925,0.159078679394212,9,11
332,588,"Menardella menardii",NA,0.104721554601791,19.6763845940139,0.0873456878073555,NA,6,0
332,588,"Neogloboquadrina dutertrei",0.0763230712301542,0.0697615928414239,18.3412316894044,0.104686998530639,0.113858536145851,8,7
332,588,"Pulleniatina obliquiloculata",0.415409749878624,0.0558187516738933,15.492053464676,0.122962110150926,0.126216719224375,6,6
332,588,"Trilobatus sacculifer",0.256133319864626,0.124877790685257,20.0304674838218,0.0738571061908121,0.129282826379072,7,7
412,492,"Globigerinoides ruber",0.210476990782308,0.0458400352706618,15.3989677566301,0.147502204401287,0.0861595252280483,8,11
412,492,"Menardella menardii",NA,0.281462505352591,26.9376125335693,0.0488612628815917,NA,6,0
412,492,"Neogloboquadrina dutertrei",0.375052337227227,0.1015930892942,26.9376125335693,0.0651476076821353,0.0876999445381673,9,10
412,492,"Trilobatus sacculifer",0.423785104955077,0.121109167173974,26.9376125335693,0.066643761976827,0.076309475072529,6,9
412,588,"Globigerinoides ruber",0.0689461357595576,0.0458400352706618,15.3989677566301,0.147502204401287,0.159078679394212,8,11
412,588,"Menardella menardii",NA,0.281462505352591,26.9376125335693,0.0488612628815917,NA,6,0
412,588,"Neogloboquadrina dutertrei",0.344118465031546,0.1015930892942,26.9376125335693,0.0651476076821353,0.113858536145851,9,7
412,588,"Trilobatus sacculifer",0.209689614379322,0.121109167173974,26.9376125335693,0.066643761976827,0.129282826379072,6,7
492,588,"Globigerinoides ruber",0.26933606056457,0.0649430005664682,26.9376125335693,0.0861595252280483,0.159078679394212,11,11
492,588,"Neogloboquadrina dutertrei",0.0810165771157981,0.0653178916898115,18.0118719771306,0.0876999445381673,0.113858536145851,10,7
492,588,"Trilobatus sacculifer",0.327853285990468,0.108074448829862,26.9376125335693,0.076309475072529,0.129282826379072,9,7
28,4,"Globigerina bulloides",0.0906962275591927,0.0491120077679632,7.32233743600441,0.12978385356909,0.0389796822656968,35,1213
28,4,"Globigerina falconensis",0.104645566958683,0.0483023456563296,16.5421623583891,0.138776043064991,0.0537473734715298,22,856
28,4,"Globigerinella calida",0.108874460749027,0.0671113351091835,17.0590420119532,0.124542454317369,0.0364799558730124,12,851
28,4,"Globigerinella siphonifera",0.151360275910749,0.0631417175798768,19.2071813589637,0.131764120496555,0.0365986366789372,16,1004
28,4,"Globigerinita glutinata",0.127355224792831,0.0460711020656669,7.39096993667297,0.132857318156964,0.0411625094488883,34,1205
28,4,"Globoconella inflata",0.110960788656946,0.0520440203600018,10.1986190951926,0.13156350327801,0.0446184064036644,29,822
28,4,"Globoturborotalita rubescens",0.0841991563750753,0.0761199891182658,18.6041618655217,0.112535650339326,0.0454921484379023,13,631
28,4,"Neogloboquadrina incompta",0.116059061928716,0.0569288363061083,3.71302370827544,0.106204353478771,0.0411853865744573,36,1045
28,4,"Neogloboquadrina pachyderma",0.0724428545086803,0.055910617405416,3.71302370827544,0.111309552361654,0.0329297370027867,42,645
28,4,"Orbulina universa",0.132665133560769,0.0562567727436157,18.5595287679717,0.146779663277585,0.0458342148858085,18,955
28,4,"Truncorotalia crassaformis",0.141471755205603,0.0678022207236361,17.5831790083519,0.107845720524183,0.0493309771009984,16,541
28,4,"Truncorotalia truncatulinoides",0.170877021273111,0.0494267542171346,11.2613349813116,0.151242490344844,0.0546892126758753,21,755
156,4,"Globigerina bulloides",0.105579261338599,0.053041248935998,12.538672731721,0.130260314427114,0.0389796822656968,27,1213
156,4,"Globigerina falconensis",0.159299896343564,0.0595856655798424,16.2115168349467,0.109589949450137,0.0537473734715298,18,856
156,4,"Globigerinella calida",0.199742656559883,0.0563250780201434,18.3514785169566,0.171118370421243,0.0364799558730124,13,851
156,4,"Globigerinella siphonifera",0.227537293613391,0.0531790933547876,18.312397668168,0.181526252205693,0.0365986366789372,15,1004
156,4,"Globigerinita glutinata",0.134813938016004,0.0547745089152855,12.8158907197184,0.125467048586867,0.0411625094488883,26,1205
156,4,"Globoconella inflata",0.124967794659862,0.0566664863038327,11.7922332791593,0.11659697111478,0.0446184064036644,23,822
156,4,"Globoturborotalita rubescens",0.160162325640977,0.0795409225507715,17.1761384602973,0.105997640945314,0.0454921484379023,10,631
156,4,"Neogloboquadrina incompta",0.143192235968114,0.0550872727226627,4.30347504592788,0.092335974691788,0.0411853865744573,23,1045
156,4,"Neogloboquadrina pachyderma",0.052212223872166,0.056866416933463,4.30347504592788,0.0962971833146723,0.0329297370027867,27,645
156,4,"Orbulina universa",0.212223730282375,0.0503676388061022,13.3062055721034,0.14893394676082,0.0458342148858085,20,955
156,4,"Truncorotalia crassaformis",0.203374227362287,0.0554111167378481,18.7785709033115,0.174931444111411,0.0493309771009984,14,541
156,4,"Truncorotalia truncatulinoides",0.172907339723517,0.0573316428205865,12.538672731721,0.115362874432118,0.0546892126758753,21,755
268,4,"Globigerina bulloides",0.0897366034102691,0.0475800148259658,12.4953191181675,0.165882190242822,0.0389796822656968,13,1213
268,4,"Globigerina falconensis",0.148477231490431,0.0511339445650042,16.3218266235223,0.136221198708354,0.0537473734715298,11,856
268,4,"Globigerinella siphonifera",0.294473897835034,0.0444759058497295,16.1659250774807,0.225359165839,0.0365986366789372,9,1004
268,4,"Globigerinita glutinata",0.134720286132237,0.0473272624777083,12.4134340669336,0.166432706997723,0.0411625094488883,13,1205
268,4,"Globoconella inflata",0.136203912755968,0.0476175980761662,12.4134340669336,0.166685924977481,0.0446184064036644,11,822
268,4,"Neogloboquadrina incompta",0.204059515786566,0.0750739466250838,3.41090142033041,0.0780115266219393,0.0411853865744573,16,1045
268,4,"Neogloboquadrina pachyderma",0.0836454978355139,0.0655418635810206,3.54556507710987,0.09060460714906,0.0329297370027867,20,645
268,4,"Orbulina universa",0.267324675234881,0.0477178237489853,8.75201218851855,0.152789536429739,0.0458342148858085,11,955
268,4,"Truncorotalia crassaformis",0.223226297904809,0.0737067724269689,16.2184044741289,0.103867715129069,0.0493309771009984,6,541
268,4,"Truncorotalia truncatulinoides",0.207979339980287,0.0475326152224212,12.0851233815409,0.175423234734379,0.0546892126758753,10,755
